t_s,track_id,est_e_m,est_n_m,est_u_m,est_vel_e,est_vel_n,est_vel_u,pos_err_m,az_err_deg,el_err_deg,range_err_m
9.7700,1,-1120.7207,1167.3701,121.0871,10.0254,-11.5759,-1.0895,2.3095,-0.0464,-0.0534,-1.1489
9.8400,1,-1119.6651,1166.0491,120.9074,10.1099,-11.7359,-1.1280,2.8221,-0.0519,-0.0574,-1.7832
9.8700,1,-1118.8237,1165.9958,122.5625,10.3854,-11.5865,-0.3618,2.0321,-0.0317,0.0017,-1.8247
9.9000,1,-1118.5212,1165.6395,122.5516,10.3808,-11.5909,-0.3618,2.0557,-0.0327,0.0017,-1.8371
9.9370,1,-1117.9202,1165.4643,122.2705,10.4936,-11.4632,-0.4839,1.9555,-0.0216,-0.0079,-1.8449
9.9400,1,-1116.9361,1164.4084,122.1382,10.7617,-11.7570,-0.5243,3.3134,-0.0223,-0.0088,-3.2436
10.0370,1,-1115.7675,1163.3715,122.2528,10.8287,-11.7049,-0.4478,3.3654,-0.0179,-0.0035,-3.3261
10.0400,1,-1115.2588,1162.7798,122.1922,10.9571,-11.8700,-0.4649,4.0950,-0.0194,-0.0036,-4.0573
10.1000,1,-1114.5858,1162.0825,122.1643,10.9654,-11.8621,-0.4649,4.1554,-0.0193,-0.0038,-4.1186
10.1400,1,-1113.8572,1161.3165,122.1512,11.0507,-11.9452,-0.4562,4.6020,-0.0194,-0.0026,-4.5689
10.2400,1,-1111.5160,1158.8673,121.9474,11.4105,-12.3016,-0.5049,6.4752,-0.0196,-0.0037,-6.4508
10.3000,1,-1110.8361,1158.1246,121.9171,11.4079,-12.3041,-0.5049,6.5757,-0.0205,-0.0038,-6.5497
10.3400,1,-1110.2658,1157.5811,121.8855,11.4495,-12.3104,-0.5086,6.7545,-0.0192,-0.0040,-6.7321
10.4400,1,-1108.9641,1156.2289,121.7963,11.4999,-12.3396,-0.5239,7.1199,-0.0191,-0.0051,-7.0984
10.5000,1,-1108.2735,1155.4892,121.7649,11.5003,-12.3393,-0.5239,7.2250,-0.0196,-0.0053,-7.2026
10.5400,1,-1108.3698,1155.5732,121.7977,11.3388,-12.1723,-0.5104,6.4945,-0.0200,-0.0057,-6.4684
10.6030,1,-1107.6039,1154.8173,121.9831,11.3647,-12.1639,-0.4063,6.5909,-0.0189,0.0019,-6.5694
10.6400,1,-1109.0380,1156.3320,122.1936,10.8323,-11.5919,-0.3394,3.9537,-0.0184,0.0026,-3.9192
10.7000,1,-1108.3897,1155.6349,122.1732,10.8314,-11.5928,-0.3394,3.9987,-0.0189,0.0027,-3.9627
10.7400,1,-1107.7962,1154.9858,122.1238,10.8753,-11.6485,-0.3528,4.2745,-0.0197,0.0021,-4.2384
10.7700,1,-1107.4529,1154.6728,121.9707,10.8847,-11.6287,-0.4211,4.2910,-0.0186,-0.0030,-4.2586
10.8400,1,-1107.7088,1154.8069,122.0644,10.5743,-11.3673,-0.3831,2.9842,-0.0219,-0.0025,-2.9200
10.9000,1,-1107.0781,1154.1214,122.0414,10.5723,-11.3693,-0.3831,3.0110,-0.0226,-0.0026,-2.9433
10.9400,1,-1106.6236,1153.5857,121.9678,10.5743,-11.3979,-0.4099,3.1194,-0.0241,-0.0045,-3.0433
